City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Sohag,EG,26.557,31.6948,82.27,30,0,6.53,clear sky
289,Pemangkat,ID,1.1667,108.9667,82.54,79,75,8.28,broken clouds
290,Kamyaran,IR,34.7956,46.9355,71.55,22,0,4.23,clear sky
291,Mocuba,MZ,-16.8392,36.9856,58.96,92,99,4.9,light rain
292,Tokur,RU,53.1333,132.9,65.97,92,100,3.89,light rain
293,Marsh Harbour,BS,26.5412,-77.0636,79.56,64,100,8.72,overcast clouds
294,Khawhai,IN,23.3667,93.1167,63.46,96,100,0.92,overcast clouds
295,Vila Do Maio,CV,15.1333,-23.2167,75.99,72,100,8.03,overcast clouds
296,Inhambane,MZ,-23.865,35.3833,64.18,64,89,11.1,overcast clouds
297,Griffith,US,41.5284,-87.4237,86.14,87,1,3.0,clear sky
298,Puerto Escondido,MX,15.85,-97.0667,86.83,70,1,9.22,clear sky
299,Maningrida,AU,-12.0667,134.2667,81.73,57,92,4.32,overcast clouds
300,Luderitz,NA,-26.6481,15.1594,63.59,21,38,8.66,scattered clouds
301,Raudeberg,NO,61.9875,5.1352,59.2,90,62,3.22,broken clouds
302,Chepareria,KE,1.3077,35.2039,60.57,84,99,1.7,light rain
303,La Maddalena,IT,41.2142,9.4083,75.36,71,17,2.44,few clouds
304,Rabaul,PG,-4.1967,152.1721,83.16,71,34,2.75,scattered clouds
305,Kodiak,US,57.79,-152.4072,60.31,77,40,8.05,scattered clouds
306,Lar,IN,26.2039,83.9717,83.1,81,11,10.65,few clouds
307,Ust-Kulom,RU,61.6864,53.6902,47.21,81,100,5.37,overcast clouds
308,Vao,NC,-22.6667,167.4833,72.01,82,24,8.12,few clouds
309,Kozhva,RU,65.1073,57.0459,41.07,95,21,5.75,few clouds
310,Kloulklubed,PW,7.0419,134.2556,86.5,72,100,10.89,overcast clouds
311,Tilichiki,RU,60.4667,166.1,58.95,78,100,6.44,overcast clouds
312,Yashkul,RU,46.1711,45.3435,76.53,36,48,5.39,scattered clouds
313,Waddan,LY,29.1614,16.139,73.83,59,0,4.36,clear sky
314,Sisophon,KH,13.5859,102.9737,75.42,92,100,10.69,light rain
315,Singida,TZ,-4.8167,34.75,54.46,77,0,12.68,clear sky
316,Radom,PL,51.4025,21.1471,69.75,58,58,7.34,broken clouds
317,Porbandar,IN,21.6422,69.6093,81.61,85,100,20.02,overcast clouds
318,Imeni Poliny Osipenko,RU,52.4201,136.4853,86.41,50,100,11.74,overcast clouds
319,Port Hedland,AU,-20.3167,118.5667,66.25,42,44,6.91,scattered clouds
320,Nawa,IN,27.0167,75.0,85.42,71,30,5.06,scattered clouds
321,Maravilha,BR,-26.7608,-53.1725,70.21,68,11,5.14,few clouds
322,Awbari,LY,26.5921,12.7805,78.62,23,0,7.29,clear sky
323,Shingu,JP,33.7333,135.9833,85.19,70,100,9.26,overcast clouds
324,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,78,18,13.8,few clouds
325,Petatlan,MX,17.5167,-101.2667,89.4,83,7,3.31,clear sky
326,Nikolskoye,RU,59.7035,30.7861,58.8,56,100,4.52,overcast clouds
327,Mehamn,NO,71.0357,27.8492,44.42,84,100,22.5,overcast clouds
328,Naze,JP,28.3667,129.4833,81.52,90,100,22.39,overcast clouds
329,Aksu,CN,41.1231,80.2644,84.72,36,0,3.18,clear sky
