City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
363,Iwaki,JP,85.77,clear sky,37.05,140.8833,Toyoko Inn Iwaki Ekimae
365,Port Lincoln,AU,56.07,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
366,Kota Bahru,MY,80.55,few clouds,6.1333,102.2386,Grand Riverview Hotel
367,Kismayo,SO,76.05,broken clouds,-0.3582,42.5454,Agan-Hotel
368,Wasilla,US,65.75,light rain,61.5814,-149.4394,Alaska's Select Inn Wasilla
370,Mormugao,IN,78.06,broken clouds,15.4,73.8,Coconut Creek Resort
373,Nuoro,IT,74.39,clear sky,40.3211,9.3297,Hotel Sandalia
374,Mana,GF,77.13,overcast clouds,5.6592,-53.7767,LE SAMANA
375,Santa Cruz,BO,76.46,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
376,Miri,MY,82.54,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
377,Plonsk,PL,73.24,overcast clouds,52.6235,20.3755,Hotel Martex
379,Setermoen,NO,51.76,light rain,68.861,18.3486,Room4You
380,Ishigaki,JP,86.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
382,Jizan,SA,83.34,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
383,Manzil Salim,TN,78.8,clear sky,35.8567,8.4765,mohamed ben khlil omri
384,Broome,US,76.46,few clouds,42.2506,-75.833,Chenango Valley State Park
385,Moose Factory,CA,68.0,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
386,San Patricio,US,92.53,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
387,Kavaratti,IN,81.7,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
388,Sola,VU,88.47,light rain,-13.8833,167.55,Leumerus Bungalows
